server.id=host:port:port,该参数没有默认值，在单机模式下可以不配置，不支持系统属性配置。该参数用于配置组成 ZooKeeper 集群的机器列表，其中 id 即为 Server ID，与每台服务器 myid 文件中的数字相对应。同时，在该参数中会配置2个端口，第一个端口用于指定 Follower 服务器与 Leader 进行运行时通信和数据同步时所使用的端口，第二个端口则专门用于进行 Leader 选举过程中的投票通信。在 ZooKeeper 服务启动的时候，其会根据 myid 文件中配置的 Server ID来确定自己是那台服务器，并使用对应配置的端口来进行启动。如果在实际使用过程中，需要在同一台服务器上部署多个 ZooKeeper 示例来构成伪集群的话，那么这些端口都需要配置成不通过如: server.1=192.168.o.1:2777:3777 server.1=192.168.o.1:2888:3888 server.1=192.168.o.1:2999:3999
autopurge.snapRetainCount,该参数有默认值: 3，可以不配置，不支持系统属性配置。从 3.4.0 版本开始，ZooKeeper 提供了对历史事务日志和快照数据自动清理的支持。参数 autopurge.snapRetainCount 用于配置 ZooKeeper 在自动清理的时候需要保留的快照数据文件数量和对应的事务日志文件。需要注意的是，并不是磁盘上的所有事务日志和快照数据文件都可以被清理掉---那样的话将无法恢复数据。因此参数 autopurge.snapRetainCount 的最小值是 3，如果配置的 autopurge.snapRetainCount 值比 3 小的话，那么会被自动调整到 3，即至少需要保留3个快照数据文件和对应的事务日志文件。
autopurge.purgeInterval,该参数有默认值: 0，单位是小时，可以不配置，不支持系统属性配置。参数 autopurge.purgeInterval 和参数 autopurge.snapRetainCount 配套使用，同于配置 ZooKeeper 进行历史文件自动清理的频率。如果配置该值为 0或负数，那么就表明不需要开启定时清理功能。ZooKeeper 默认不开启这项功能。
fsync.warningthresholdms,该参数有默认值: 1000，单位是毫秒，可以不配置，仅支持系统属性方式配置: fsync.warningthresholdms。参数 fsync.warningthresholdms 用于配置 ZooKeeper 进行事务日志 fsync 操作时消耗时间的报警阈值。一旦进行一个 fsync 操作消耗的时间大于参数 fsync.warningthresholdms 指定的值，那么就在日志中打印出报警日志。
forceSync,该参数有默认值: yes，可以不配置，可选配置项为"yes" 和 "no"，仅支持系统属性配置: zookeeper.forceSync。该参数用于配置 ZooKeeper 服务器是否在事务提交的时候，将日志写入操作强制刷入磁盘（即调用 java.nio.channels.FileChannel.force 接口），默认情况下是“yes”，即每次事务日志写入操作都会实时刷入磁盘。如果将其设置为“no”，则能一定程度的提高ZooKeeper 的写性能，但同时也会存在类似于机器断电这样的安全风险。
globalOutstandingLimit,该参数有默认值: 1000，可以不配置，仅支持系统属性方式配置: zookeeper.globalOutstandingLimit。参数 globalOutstandingLimit 用于配置 ZooKeeper 服务器最大请求堆积数量。在 ZooKeeper 服务器运行的过程中，客户端会源源不断的请求发送到服务器，为了防止服务器资源（包括 CPU、内存和网络等）耗尽，服务端必须限制同时处理的请求数，即最大请求堆积数量。
leaderServers,该参数有默认值: yes，可以不配置，可选配置项为"yes" 和 "no"，仅支持系统属性方式配置: zookeeper.leaderServers。该参数用于配置 Leader 服务器是否能够接受客户端的连接，即是否允许 Leader 想客户端提供服务，默认情况下，Leader 服务器能够接受并处理客户端的所有读写请求。在 ZooKeeper 的架构设计中，Leader 服务器主要用来进行实物更新请求的协调以及集群本省运行时协调，因此，可以设置让 Leader 服务器不接受客户端的连接，以使其专注于进行分布式协调。
skipAcl,该参数有默认值: no，可以不配置，可选配置项为"yes" 和 "no"，仅支持系统属性方式配置: zookeeper.skipAcl。该参数用于配置 ZooKeeper 服务器是否跳过 ACL 权限检查，默认情况下是"no"，即会对每一次客户端请求进行权限检查。如果将其设置为"yes"，则能一定程度的提高 ZooKeeper 的读写性能，单同时也将向所有客户端开放 ZooKeeper 的数据，包括那些之前设置过 ACL 权限的数据节点，也将不在接受权限控制。
cnxTimeout,该参数有默认值: 5000，单位是毫秒，可以不设置，仅支持系统属性方式配置: zookeeper.cnxTimeout。该参数用于配置在 Leader 选举过程中，如服务器之间进行 TCP 连接创建的超时时间。
electionAlf,在之前的版本中，可以使用该参数来配置选择 ZooKeeper 进行 Leader 选举时所使用的算法，但从 3.4.0 版本开始，ZooKeeper 废弃了其他选举算法，只留下 FastLeaderElection 算法，因此该参数目前看来没有用了。
,
,
作者：懒癌正患者,
链接：https://www.jianshu.com/p/41aa82d68a7e,
来源：简书,
简书著作权归作者所有，任何形式的转载都请联系作者获得授权并注明出处。,
